  X         Y         Z       PDOP   TDOP   GDOP
-2148743.42    4426669.25    4044675.07    1.57    0.79    1.75

-2148742.33    4426663.60    4044672.49    1.57    0.79    1.76

-2148744.03    4426665.44    4044670.43    1.57    0.79    1.76

-2148743.17    4426663.80    4044671.76    1.58    0.79    1.77

-2148740.95    4426657.05    4044669.76    1.58    0.80    1.77

-2148743.92    4426663.45    4044672.12    1.58    0.80    1.77

-2148743.16    4426661.42    4044669.99    1.59    0.80    1.78

-2148742.71    4426666.87    4044673.77    1.59    0.80    1.78

-2148743.86    4426665.23    4044672.38    1.59    0.80    1.78

-2148741.15    4426655.34    4044669.50    1.60    0.80    1.79

-2148744.03    4426663.44    4044669.42    1.60    0.80    1.79

-2148742.96    4426659.51    4044665.97    1.60    0.81    1.79

-2148744.29    4426664.42    4044669.80    1.61    0.81    1.80

-2148743.15    4426659.54    4044670.26    1.61    0.81    1.80

-2148742.03    4426664.81    4044671.23    1.61    0.81    1.80

-2148742.56    4426660.77    4044666.69    1.61    0.81    1.81

-2148743.38    4426661.05    4044668.52    1.62    0.81    1.81

-2148740.95    4426657.45    4044664.93    1.62    0.82    1.81

-2148741.66    4426663.15    4044667.03    1.62    0.82    1.82

-2148740.80    4426662.22    4044666.84    1.63    0.82    1.82

-2148740.05    4426661.80    4044667.47    1.63    0.82    1.82

-2148741.76    4426660.59    4044667.53    1.63    0.82    1.83

-2148741.24    4426659.73    4044668.11    1.63    0.82    1.83

-2148742.87    4426667.26    4044669.96    1.64    0.82    1.83

-2148739.83    4426658.90    4044665.42    1.64    0.82    1.83

-2148739.85    4426658.33    4044666.28    1.64    0.83    1.84

-2148739.58    4426661.28    4044665.37    1.64    0.83    1.84

-2148740.95    4426662.10    4044665.88    1.65    0.83    1.84

-2148741.24    4426662.82    4044666.72    1.65    0.83    1.85

-2148740.78    4426664.75    4044666.50    1.65    0.83    1.85

-2148742.37    4426662.04    4044664.36    1.65    0.83    1.85

-2148740.50    4426662.74    4044664.91    1.66    0.83    1.85

-2148740.68    4426662.74    4044667.20    1.66    0.83    1.86

-2148741.21    4426661.52    4044664.43    1.66    0.83    1.86

-2148740.79    4426663.05    4044663.78    1.66    0.84    1.86

-2148739.95    4426661.93    4044664.24    1.66    0.84    1.86

-2148740.75    4426662.22    4044663.60    1.67    0.84    1.87

-2148739.13    4426660.31    4044662.78    1.91    1.07    2.19

-2148738.54    4426661.17    4044663.28    1.92    1.08    2.20

-2148738.96    4426660.12    4044663.74    1.92    1.08    2.20

-2148739.30    4426661.54    4044663.56    1.93    1.08    2.21

-2148740.53    4426662.54    4044662.09    1.93    1.09    2.21

-2148739.49    4426659.73    4044660.70    1.94    1.09    2.22

-2148740.22    4426663.89    4044663.67    1.94    1.09    2.23

-2148741.28    4426663.35    4044664.77    1.95    1.09    2.23

-2148738.79    4426661.59    4044664.04    1.95    1.10    2.24

-2148737.33    4426659.95    4044660.95    1.96    1.10    2.24

-2148738.90    4426660.08    4044662.23    1.96    1.10    2.25

-2148736.86    4426657.21    4044660.65    1.97    1.11    2.26

-2148737.78    4426657.45    4044661.06    1.97    1.11    2.26

-2527921.02    -454648.81    -3689598.64    1.92    1.07    2.20

-2148737.11    4426657.29    4044661.98    1.98    1.11    2.27

-2148736.45    4426656.58    4044660.46    1.99    1.12    2.28

-2148735.69    4426657.08    4044661.32    1.99    1.12    2.29

-2148737.43    4426656.83    4044660.08    2.00    1.12    2.29

-2955607.18    85390.03    -3277585.36    1.95    1.09    2.24

-3048546.86    204030.33    -3189398.22    1.96    1.09    2.25

-3143976.28    326269.98    -3099318.77    1.97    1.10    2.25

-4931631.95    -5691444.24    -13907885.45    1.97    1.10    2.26

-2148737.78    4426657.45    4044661.09    1.98    1.11    2.27

-2148735.79    4426655.73    4044662.68    1.99    1.11    2.28

-2148735.46    4426656.37    4044661.21    1.99    1.11    2.28

-2148734.19    4426656.28    4044661.86    2.00    1.12    2.29

-2148735.72    4426655.40    4044661.62    2.00    1.12    2.30

-2148735.15    4426656.34    4044660.24    2.01    1.13    2.30

-2148734.27    4426655.04    4044662.11    2.02    1.13    2.31

-2148735.10    4426656.40    4044662.20    2.02    1.13    2.32

-2148733.87    4426653.87    4044662.60    2.03    1.14    2.33

-2148735.64    4426654.52    4044661.45    2.03    1.14    2.33

-2148734.79    4426654.47    4044662.60    2.04    1.15    2.34

-2148731.95    4426651.98    4044659.35    2.05    1.15    2.35

-2148733.32    4426653.46    4044657.81    2.05    1.15    2.35

-2148734.06    4426654.27    4044659.00    2.06    1.16    2.36

-2148733.94    4426653.56    4044659.81    2.06    1.16    2.36

-2148733.28    4426651.52    4044659.91    2.07    1.16    2.37

-2148732.49    4426648.98    4044658.08    2.07    1.17    2.38

-2148733.06    4426650.70    4044660.83    2.08    1.17    2.38

-2148732.03    4426651.54    4044658.74    2.08    1.17    2.39

-2148733.16    4426653.26    4044659.58    2.09    1.17    2.39

-2148734.21    4426651.98    4044658.47    2.09    1.18    2.40

-2148734.02    4426652.60    4044659.93    2.09    1.18    2.40

-2148733.15    4426649.26    4044658.33    2.10    1.18    2.41

-2148733.77    4426651.61    4044658.29    2.10    1.19    2.41

-2148732.76    4426650.49    4044658.72    2.11    1.19    2.42

-2148730.60    4426649.04    4044656.69    2.11    1.19    2.42

-2148732.65    4426651.46    4044660.66    2.11    1.19    2.43

-2148732.08    4426649.88    4044660.96    2.12    1.20    2.43

-2148732.36    4426648.31    4044659.70    2.12    1.20    2.44

-2148732.40    4426651.78    4044660.53    2.12    1.20    2.44

-2148732.05    4426649.71    4044658.04    2.13    1.20    2.44

-2148730.72    4426649.26    4044657.80    2.13    1.20    2.45

-2148731.44    4426650.17    4044657.38    2.13    1.20    2.45

-2148729.88    4426646.98    4044657.02    2.14    1.21    2.45

-2148731.12    4426647.61    4044655.51    2.14    1.21    2.46

-2148732.75    4426648.87    4044656.49    2.14    1.21    2.46

-2148729.88    4426646.89    4044656.54    2.14    1.21    2.46

-2148729.65    4426646.35    4044656.12    2.15    1.21    2.46

-2148729.17    4426646.36    4044656.14    2.15    1.21    2.47

-2148728.43    4426645.49    4044655.23    2.15    1.21    2.47

-2148730.75    4426649.35    4044658.84    2.15    1.21    2.47

-2148731.81    4426648.50    4044657.88    2.15    1.21    2.47

-2148732.78    4426649.53    4044657.19    2.15    1.22    2.47

-2148731.04    4426647.50    4044658.46    2.15    1.22    2.47

-2148732.73    4426649.11    4044660.24    2.16    1.22    2.47

-2148729.47    4426645.23    4044656.88    2.16    1.22    2.48

-2148731.93    4426648.36    4044658.85    2.16    1.22    2.48

-2148729.67    4426646.25    4044657.58    2.16    1.22    2.48

-2148730.91    4426648.81    4044659.63    2.16    1.22    2.48

-2148730.86    4426647.88    4044658.80    2.16    1.22    2.48

-2148729.68    4426646.53    4044658.58    2.36    1.36    2.73

-2148730.81    4426647.79    4044659.63    2.37    1.36    2.73

-2148730.63    4426647.01    4044658.84    2.37    1.36    2.73

-2148729.50    4426645.46    4044659.20    2.37    1.36    2.74

-2148730.77    4426648.13    4044658.90    2.37    1.37    2.74

-2148730.15    4426646.73    4044659.08    2.37    1.37    2.74

-2148730.76    4426648.59    4044658.64    2.38    1.37    2.74

-2148730.56    4426646.92    4044658.37    2.38    1.37    2.74

-2148728.63    4426645.08    4044657.48    2.38    1.37    2.74

-2148730.15    4426647.58    4044659.47    2.38    1.37    2.74

-2148730.50    4426647.16    4044658.63    2.38    1.37    2.75

-2148729.44    4426644.70    4044658.58    2.38    1.37    2.75

-2148728.84    4426645.40    4044656.50    2.38    1.37    2.75

-2148730.37    4426644.68    4044657.52    2.38    1.37    2.75

-2148730.89    4426646.93    4044657.85    2.38    1.37    2.74

-2148729.33    4426644.65    4044657.38    2.38    1.37    2.74

-2148729.25    4426646.01    4044656.48    2.38    1.37    2.74

-2148729.93    4426645.12    4044658.64    2.38    1.37    2.74

-2148727.20    4426643.44    4044657.00    2.37    1.37    2.74

-2148729.86    4426644.21    4044657.95    2.37    1.36    2.74

-2148730.05    4426645.35    4044658.85    2.37    1.36    2.74

-2148729.05    4426645.50    4044659.06    2.37    1.36    2.73

