  X         Y         Z       PDOP   TDOP   GDOP
-2148749.01    4426657.72    4044658.01    2.37    1.34    2.73

-2148747.46    4426659.53    4044659.42    2.36    1.33    2.71

-2148753.84    4426667.44    4044679.23    1.66    0.79    1.84

-2148755.40    4426668.49    4044678.27    1.67    0.79    1.84

-2148756.86    4426667.64    4044675.61    1.67    0.79    1.84

-2148756.26    4426670.29    4044679.18    1.67    0.79    1.84

-2148757.51    4426667.58    4044674.45    1.67    0.79    1.84

-2148757.74    4426666.64    4044673.71    1.67    0.79    1.84

-2148753.30    4426661.81    4044671.56    1.67    0.79    1.84

-2148753.76    4426663.41    4044673.34    1.67    0.79    1.84

-2148753.54    4426666.66    4044672.52    1.67    0.79    1.84

-2148758.78    4426666.67    4044669.35    1.67    0.79    1.84

-2148754.23    4426666.47    4044672.37    1.67    0.79    1.84

